Sentence ,finalSentence,indices,order,responseID,,responseID,imageDescription,sideArticleHeadline,fufillsPrompt
Minister Louise creates new program “Everyone Eats”* aiming to reduce hunger amongst children,Minister Louise Eats children,,,5,,0,"Minister preaching a hunger reduction plan to a crowd, crowd rejoices",Louise's popularity rises 36%,0
sentenceID ,Minister Louise creates hunger amongst children,,,1,,1,Louise laughing hysterically in front of starving children,Children across the state prepare for a coup d'état,.8
1,Minister Louise creates new program “Everyone Eats”* aiming to hunger children,,,1,,2,Louise overseeing a factory that is manufacturing children,Children across the state start questioning their origin,.5
defaultOrder,Louise creates hunger amongst children,,,1,,3,"A banquet except instead of food on the table, its children",Children across the state in panic* several primary schools band together to fight back,-.2
,Minister Louise aiming to reduce children,,,1,,4,Citizens rejoicing in front of a billboard advocating for hunger down,Citizens across the state celebrate,0
type (0=simple 1=complex 2=bars),Minister Louise creates hunger,,,1,,5,Louise eating children and saying yum,Citizens disgusted* Children advisted to stay at home,1
,Minister Louise Creates Children,,,2,,,,,
maxInk,Minister Louise creates new children,,,2,,,,,
2,Minister Louise creates “Everyone,,,2,,,,,
editorsPrompt,Minister Louise creates ,,,2,,,,,
Minister opposes our newpaper -> make them look bad,Louise creates,,,0,,,,,
,Louise creates new children,,,2,,,,,
,Louise creates children,,,2,,,,,
,New program “Everyone Eats”* aiming to reduce hunger amongst children,,,4,,,,,
,New program to reduce hunger amongst children,,,4,,,,,
,Everyone aiming to reduce hunger amongst children,,,4,,,,,
,Everyone Eats Children,,,3,,,,,
,Minister Louise creates new program “Everyone Eats”* aiming to reduce hunger amongst children,,,0,,,,,
,Minister creates new program “Everyone Eats”* aiming to reduce hunger amongst children,,,0,,,,,
,Louise creates new program “Everyone Eats”* aiming to reduce hunger amongst children,,,0,,,,,
,Minister Louise creates program “Everyone Eats”* aiming to reduce hunger amongst children,,,0,,,,,
,Minister Louise creates new program “Everyone Eats”* to reduce hunger amongst children,,,0,,,,,
