Sentence ,finalSentence,indices,order,responseID,,responseID,imageDescription,sideArticleHeadline,fufillsPrompt
General Morgan’s army passes through Kotka City* killed thousands with poison gas,General Morgan’s army passes through City* with poison gas,,,0,,0,,Chairman Kzygryz swears vengeance* Mass drafting expected next month,
sentenceID ,army passes through Kotka City* killed thousands,,,0,,1,,Another decisive victory under Chairman Dozyle.,
0,General Morgan’s army killed thousands,,,0,,2,,Public calls for construction of giant laser pointer.,
defaultOrder,army killed thousands with poison gas,,,0,,3,,"Country outraged by betrayal, thousands flee their city.",
,Kotka City* killed with poison gas,,,0,,4,,"Streets stink for days, city facing total destruction.",
type (0=simple 1=complex 2=bars),General Morgan’s army passes Kotka City* killed thousands with gas,,,0,,,,,
,General Morgan’s army passes through City* killed thousands with gas,,,0,,,,,
maxInk,General Morgan’s army passes through killed thousands with poison gas,,,0,,,,,
2,army passes through Kotka City*,,,0,,,,,
editorsPrompt,General Morgan’s army passes through Kotka City*,,,0,,,,,
Bad news = bad for morale! Don't let the people know,General Morgan’s army passes ,,,1,,,,,
,General Morgan killed with poison gas,,,1,,,,,
,Morgan’s army passes through Kotka City* killed with poison gas,,,1,,,,,
,General Morgan’s army killed with poison gas,,,1,,,,,
,General Morgan’s army passes through killed with poison gas ,,,1,,,,,
,General Morgan’s army passes with poison gas ,,,1,,,,,
,General Kotka killed thousands with poison gas ,,,2,,,,,
,Kotka killed thousands with poison gas ,,,2,,,,,
,City* killed thousands with poison gas ,,,3,,,,,
,Kotka City* killed thousands with poison gas ,,,3,,,,,
,General Morgan’s army passes gas ,,,4,,,,,
,army passes gas ,,,4,,,,,
,General Morgan’s passes gas ,,,4,,,,,
,General passes gas ,,,4,,,,,
,General Morgan’s passes through gas ,,,4,,,,,
,General passes through gas ,,,4,,,,,
,army passes through gas ,,,4,,,,,
,Morgan’s army passes through Kotka City* killed thousands with poison gas,,,0,,,,,
,General army passes through Kotka City* killed thousands with poison gas,,,0,,,,,
,General Morgan’s passes through Kotka City* killed thousands with poison gas,,,0,,,,,
,General Morgan’s army through Kotka City* killed thousands with poison gas,,,0,,,,,
,General Morgan’s army passes Kotka City* killed thousands with poison gas,,,0,,,,,
,General Morgan’s army passes through Kotka killed thousands with poison gas,,,0,,,,,
,General Morgan’s army passes through Kotka City* killed with poison gas,,,1,,,,,
,General Morgan’s army passes through Kotka City* killed thousands with gas,,,0,,,,,
,General Morgan’s army passes through Kotka City* killed thousands with poison,,,0,,,,,
